"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.WORDS","Answer.categories","Approve","Reject"
"3A9LA2FRWRD4C1V9CF1H7KH9GQDHXJ","3K17V65Z3LYKF53VPWAI4514KML8MF","Pick the best category","Categorize the given object (word) based on how big it generally is","categorize","$0.02","Sat Apr 07 09:40:38 PDT 2018","3","BatchId:3184697;OriginalHitTemplateId:926051498;","86400","259200","Sat Apr 07 16:40:38 PDT 2018","","","3HVVDCPGTESM3ZA87799T1NRWCDTYA","A1GF4A7E5KTXS8","Submitted","Sat Apr 07 09:50:03 PDT 2018","Sat Apr 07 09:50:10 PDT 2018","Tue Apr 10 09:50:10 PDT 2018","","","","7","0% (0/1)","0% (0/1)","0% (0/1)","Magpie","category 6"
"3A9LA2FRWRD4C1V9CF1H7KH9GQDHXJ","3K17V65Z3LYKF53VPWAI4514KML8MF","Pick the best category","Categorize the given object (word) based on how big it generally is","categorize","$0.02","Sat Apr 07 09:40:38 PDT 2018","3","BatchId:3184697;OriginalHitTemplateId:926051498;","86400","259200","Sat Apr 07 16:40:38 PDT 2018","","","3Z3ZLGNNSIU8VGLS1IMOY2GR34J3Q0","AJAPJJTISC36L","Submitted","Sat Apr 07 09:46:05 PDT 2018","Sat Apr 07 09:46:12 PDT 2018","Tue Apr 10 09:46:12 PDT 2018","","","","7","0% (0/0)","0% (0/0)","0% (0/0)","Magpie","category 4"
"30Z7M1Q8UXJZNDMNY1FXAZDCCME8AR","3K17V65Z3LYKF53VPWAI4514KML8MF","Pick the best category","Categorize the given object (word) based on how big it generally is","categorize","$0.02","Sat Apr 07 09:40:53 PDT 2018","3","BatchId:3184697;OriginalHitTemplateId:926051498;","86400","259200","Sat Apr 07 16:40:53 PDT 2018","","","3PZDLQMM0TLFGXFQS07OVNMITBI2CJ","AD3176YJTD639","Rejected","Sat Apr 07 09:47:35 PDT 2018","Sat Apr 07 09:47:47 PDT 2018","Tue Apr 10 09:47:47 PDT 2018","","Sat Apr 07 12:53:26 PDT 2018","a catcher is human sized","12","0% (0/1)","0% (0/1)","0% (0/1)","Catcher","category 1"
"30Z7M1Q8UXJZNDMNY1FXAZDCCME8AR","3K17V65Z3LYKF53VPWAI4514KML8MF","Pick the best category","Categorize the given object (word) based on how big it generally is","categorize","$0.02","Sat Apr 07 09:40:53 PDT 2018","3","BatchId:3184697;OriginalHitTemplateId:926051498;","86400","259200","Sat Apr 07 16:40:53 PDT 2018","","","3VAR3R6G1P1RB1EIYMPG0ET24PSO84","A1FS8SBR4SDWYG","Submitted","Sat Apr 07 09:45:39 PDT 2018","Sat Apr 07 09:45:45 PDT 2018","Tue Apr 10 09:45:45 PDT 2018","","","","6","0% (0/0)","0% (0/0)","0% (0/0)","Catcher","category 7"
"30Z7M1Q8UXJZNDMNY1FXAZDCCME8AR","3K17V65Z3LYKF53VPWAI4514KML8MF","Pick the best category","Categorize the given object (word) based on how big it generally is","categorize","$0.02","Sat Apr 07 09:40:53 PDT 2018","3","BatchId:3184697;OriginalHitTemplateId:926051498;","86400","259200","Sat Apr 07 16:40:53 PDT 2018","","","3Z7EFSHGN9EGHDINGPSHLDGE6KJCX4","A30MP4LXV4MIFD","Submitted","Sat Apr 07 09:48:00 PDT 2018","Sat Apr 07 09:48:04 PDT 2018","Tue Apr 10 09:48:04 PDT 2018","","","","4","0% (0/0)","0% (0/0)","0% (0/0)","Catcher","category 7"
"3XUSYT70IS0F3VKWN7TK7LF0ERZD0B","3K17V65Z3LYKF53VPWAI4514KML8MF","Pick the best category","Categorize the given object (word) based on how big it generally is","categorize","$0.02","Sat Apr 07 09:40:41 PDT 2018","3","BatchId:3184697;OriginalHitTemplateId:926051498;","86400","259200","Sat Apr 07 16:40:41 PDT 2018","","","39N5ACM9HEN9A69TIE89PAT3Y07P9C","A2PD2K72QJHQPO","Submitted","Sat Apr 07 09:48:15 PDT 2018","Sat Apr 07 09:48:21 PDT 2018","Tue Apr 10 09:48:21 PDT 2018","","","","6","0% (0/0)","0% (0/0)","0% (0/0)","Parking Meter","category 4"
"3XUSYT70IS0F3VKWN7TK7LF0ERZD0B","3K17V65Z3LYKF53VPWAI4514KML8MF","Pick the best category","Categorize the given object (word) based on how big it generally is","categorize","$0.02","Sat Apr 07 09:40:41 PDT 2018","3","BatchId:3184697;OriginalHitTemplateId:926051498;","86400","259200","Sat Apr 07 16:40:41 PDT 2018","","","3E4GGUZ1T8RXZVREKDOMJ6ZQYKSK2F","AD1ILDUXZHASF","Submitted","Sat Apr 07 09:51:00 PDT 2018","Sat Apr 07 09:51:06 PDT 2018","Tue Apr 10 09:51:06 PDT 2018","","","","6","0% (0/0)","0% (0/0)","0% (0/0)","Parking Meter","category 7"
"3ZLW647WAKUOHDLD95RMD0M3KCV32O","3K17V65Z3LYKF53VPWAI4514KML8MF","Pick the best category","Categorize the given object (word) based on how big it generally is","categorize","$0.02","Sat Apr 07 09:40:58 PDT 2018","3","BatchId:3184697;OriginalHitTemplateId:926051498;","86400","259200","Sat Apr 07 16:40:58 PDT 2018","","","3EFE17QCRC5Z2474870VXWW24XMHSA","A1GF4A7E5KTXS8","Submitted","Sat Apr 07 09:48:13 PDT 2018","Sat Apr 07 09:48:18 PDT 2018","Tue Apr 10 09:48:18 PDT 2018","","","","5","0% (0/1)","0% (0/1)","0% (0/1)","Street Lights","category 6"
"3ZLW647WAKUOHDLD95RMD0M3KCV32O","3K17V65Z3LYKF53VPWAI4514KML8MF","Pick the best category","Categorize the given object (word) based on how big it generally is","categorize","$0.02","Sat Apr 07 09:40:58 PDT 2018","3","BatchId:3184697;OriginalHitTemplateId:926051498;","86400","259200","Sat Apr 07 16:40:58 PDT 2018","","","3NLZY2D53PPPBKBH7OQOUOA83QAQL1","AJWES6SFIP3AT","Submitted","Sat Apr 07 09:49:37 PDT 2018","Sat Apr 07 09:50:34 PDT 2018","Tue Apr 10 09:50:34 PDT 2018","","","","57","0% (0/1)","0% (0/1)","0% (0/1)","Street Lights","category 9"
"30IRMPJWDYIBHVA591YMVUBD7QWKRU","3K17V65Z3LYKF53VPWAI4514KML8MF","Pick the best category","Categorize the given object (word) based on how big it generally is","categorize","$0.02","Sat Apr 07 09:40:44 PDT 2018","4","BatchId:3184697;OriginalHitTemplateId:926051498;","86400","259200","Sat Apr 07 19:49:49 PDT 2018","","","3M23Y66PO27J5FNNCO9R057CVJ5S6J","A379NKUKUM65VJ","Submitted","Sat Apr 07 09:44:43 PDT 2018","Sat Apr 07 09:44:47 PDT 2018","Tue Apr 10 09:44:47 PDT 2018","","","","4","0% (0/0)","0% (0/0)","0% (0/0)","Kitten","category 5"
